ID	Status	Category	Description	Price
473	Discounted	Clothing	Description for product with ID of 473	 52.86 
474	Discounted	Hardware	Description for product with ID of 474	 6.80 
475	Discounted	Kitchen	Description for product with ID of 475	 40.90 
476	Retail	Hardware	Description for product with ID of 476	 47.29 
477	Retail	Hardware	Description for product with ID of 477	 44.31 
478	Discounted	Clothing	Description for product with ID of 478	 4.89 
479	Discounted	Clothing	Description for product with ID of 479	 41.99 
480	Retail	Hardware	Description for product with ID of 480	 10.09 
481	Wholesale	Clothing	Description for product with ID of 481	 70.43 
482	Wholesale	Kitchen	Description for product with ID of 482	 30.21 
483	Wholesale	Hardware	Description for product with ID of 483	 66.13 
484	Discontinued	Clothing	Description for product with ID of 484	 8.38 
485	Discontinued	Clothing	Description for product with ID of 485	 43.36 
486	Retail	Kitchen	Description for product with ID of 486	 54.95 
487	Retail	Clothing	Description for product with ID of 487	 80.52 
488	Wholesale	Hardware	Description for product with ID of 488	 76.61 
489	Discontinued	Hardware	Description for product with ID of 489	 5.53 
490	Retail	Kitchen	Description for product with ID of 490	 89.68 
491	Discounted	Kitchen	Description for product with ID of 491	 98.88 
492	Retail	Hardware	Description for product with ID of 492	 64.82 
493	Discounted	Kitchen	Description for product with ID of 493	 9.22 
494	Discounted	Kitchen	Description for product with ID of 494	 40.20 
495	Discounted	Hardware	Description for product with ID of 495	 30.91 
496	Discounted	Hardware	Description for product with ID of 496	 98.06 
497	Discontinued	Kitchen	Description for product with ID of 497	 53.05 
498	Discounted	Kitchen	Description for product with ID of 498	 41.73 
499	Wholesale	Hardware	Description for product with ID of 499	 36.00 
500	Discounted	Kitchen	Description for product with ID of 500	 58.07 
